session,paper_id,paper_title,author_order,author_name,author_affil_ids,author_is_eca,affiliations_resolved
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,1,R. Adaikkalavan,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,2,A. Smith,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,3,T. Singh,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,4,S. Rangarajan,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,5,E. Chapman,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,6,S. Naffziger,2,False,"AMD, Fort Collins, CO"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,7,S. Maiyuran,3,False,"AMD, Folsom, CA"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,8,C. Chen,4,False,"AMD, Shanghai, China"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,9,S. Sundaram,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,10,M. Silla,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,11,D. Law,5,False,"AMD, Markham, Canada"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,12,K. Hoover,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,13,S. Lipson,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,14,K. Duda,2,False,"AMD, Fort Collins, CO"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,15,V. Parthasarathy,6,False,"AMD, San Diego, CA"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,16,D. John,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,17,H. Vemulapalli,1,False,"AMD, Austin, TX"
SESSION 2,2.1,AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI applications,18,S. P. K. Gade,7,False,"AMD, Hyderabad, India"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,1,C-H. Yu,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,2,J. Bae,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,3,J. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,4,H. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,5,W. Shin,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,6,J-S. Yoon,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,7,Y-J. Jin,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,8,J. Oh,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,9,J. Lee,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,10,E. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,11,M. Chi,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,12,S. Choi,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,13,D. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,14,H. Jo,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,15,H. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,16,H. Heo,,False,"Rebellions, Seongnam, Korea"
